ensembl_gene_id,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,hgnc_symbol,percentage_gc_content,gene.length,Study,Tissue,Direction,Model,Sex,Comparison
ENSG00000133069,0.275795039069076,0.197696946273773,0.353893131864378,7.07171376714703,6.93496103980883,1.02513957493907e-11,6.81364377404014e-8,16.1538603918809,TMCC2,51.21,4964,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000088836,0.634141972681461,0.4554453184878,0.812838626875122,2.45985972166919,6.96896176964363,8.19731120286901e-12,6.81364377404014e-8,15.9415514168465,SLC4A11,61.3,4081,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000196517,0.440402615855855,0.313887073331562,0.566918158380149,3.88546419768724,6.83603081306773,1.9549232530779e-11,7.61540353236497e-8,15.4452983487283,SLC6A9,56.44,5159,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000087116,0.580466474649779,0.41519586241809,0.745737086881467,1.83428186465981,6.89730625071057,1.31182976011554e-11,6.81364377404014e-8,15.2329329325483,ADAMTS2,53.87,8726,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000106665,0.211304745546541,0.149748757433214,0.272860733659868,7.4799525470862,6.74119589219877,3.60382222230608e-11,1.12309515735947e-7,14.9512270543478,CLIP2,52.06,7315,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000235423,0.400470912874975,0.281934805638285,0.519007020111665,2.65966074021035,6.6346546377068,7.10454429113144e-11,1.84505015240684e-7,13.9738108043246,ENSG00000235423,46.01,1756,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000177830,-0.179543172076757,-0.234231959944294,-0.12485438420922,4.72869543978732,-6.44716225243818,2.29524870212569e-10,5.10922361093178e-7,13.1767722819208,CHID1,59.37,5984,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000198830,-0.396805431555358,-0.520325510760429,-0.273285352350288,6.89938304517895,-6.30867348864827,5.3605576336729e-10,1.04410261309864e-6,12.3798559189291,HMGN2,48.34,2509,ROSMAP,DLPFC,DOWN,Diagnosis,Males and Females,AD-CONTROL
ENSG00000114126,0.245146611851406,0.168169065057218,0.322124158645594,5.34878306636803,6.25402816542514,7.45984213685527e-10,1.16239260176479e-6,12.0653280999209,TFDP2,39.89,11897,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000260257,0.27527915620006,0.188441396859336,0.362116915540785,6.1362974721212,6.22533495105646,8.86484606526531e-10,1.18916049288369e-6,11.9008719606209,ENSG00000260257,40.4,2131,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000166716,0.174745724223203,0.119573535608879,0.229917912837527,5.0168163723385,6.2199135663093,9.15795527827258e-10,1.18916049288369e-6,11.8693465471776,ZNF592,45.9,8134,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000158169,0.291049675877174,0.199814218846903,0.382285132907446,2.29268244126087,6.26471721409562,6.99420128889434e-10,1.16239260176479e-6,11.8076042788292,FANCC,41.78,9316,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
ENSG00000135678,0.412206966848148,0.280601217753927,0.543812715942368,4.48668106604743,6.15089721903473,1.38275105250772e-9,1.64217691861332e-6,11.4714760701377,CPM,41.46,7535,ROSMAP,DLPFC,UP,Diagnosis,Males and Females,AD-CONTROL
